,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
2,Afghanistan,0,0,0,0,AS
3,Albania,89,132,54,4.9,EU
4,Algeria,25,0,14,0.7,AF
5,Andorra,245,138,312,12.4,EU
6,Angola,217,57,45,5.9,AF
7,Antigua & Barbuda,102,128,45,4.9,NA
8,Argentina,193,25,221,8.3,SA
9,Armenia,21,179,11,3.8,EU
10,Australia,261,72,212,10.4,OC
11,Austria,279,75,191,9.7,EU
12,Azerbaijan,21,46,5,1.3,EU
13,Bahamas,122,176,51,6.3,NA
14,Bahrain,42,63,7,2,AS
15,Bangladesh,0,0,0,0,AS
16,Barbados,143,173,36,6.3,NA
17,Belarus,142,373,42,14.4,EU
18,Belgium,295,84,212,10.5,EU
19,Belize,263,114,8,6.8,NA
20,Benin,34,4,13,1.1,AF
21,Bhutan,23,0,0,0.4,AS
22,Bolivia,167,41,8,3.8,SA
23,Bosnia-Herzegovina,76,173,8,4.6,EU
24,Botswana,173,35,35,5.4,AF
25,Brazil,245,145,16,7.2,SA
26,Brunei,31,2,1,0.6,AS
27,Bulgaria,231,252,94,10.3,EU
28,Burkina Faso,25,7,7,4.3,AF
29,Burundi,88,0,0,6.3,AF
30,Cote d'Ivoire,37,1,7,4,AF
31,Cabo Verde,144,56,16,4,AF
32,Cambodia,57,65,1,2.2,AS
33,Cameroon,147,1,4,5.8,AF
34,Canada,240,122,100,8.2,NA
35,Central African Republic,17,2,1,1.8,AF
36,Chad,15,1,1,0.4,AF
37,Chile,130,124,172,7.6,SA
38,China,79,192,8,5,AS
39,Colombia,159,76,3,4.2,SA
40,Comoros,1,3,1,0.1,AF
41,Congo,76,1,9,1.7,AF
42,Cook Islands,0,254,74,5.9,OC
43,Costa Rica,149,87,11,4.4,NA
44,Croatia,230,87,254,10.2,EU
45,Cuba,93,137,5,4.2,NA
46,Cyprus,192,154,113,8.2,EU
47,Czech Republic,361,170,134,11.8,EU
48,North Korea,0,0,0,0,AS
49,DR Congo,32,3,1,2.3,AF
50,Denmark,224,81,278,10.4,EU
51,Djibouti,15,44,3,1.1,AF
52,Dominica,52,286,26,6.6,NA
53,Dominican Republic,193,147,9,6.2,NA
54,Ecuador,162,74,3,4.2,SA
55,Egypt,6,4,1,0.2,AF
56,El Salvador,52,69,2,2.2,NA
57,Equatorial Guinea,92,0,233,5.8,AF
58,Eritrea,18,0,0,0.5,AF
59,Estonia,224,194,59,9.5,EU
60,Ethiopia,20,3,0,0.7,AF
61,Fiji,77,35,1,2,OC
62,Finland,263,133,97,10,EU
63,France,127,151,370,11.8,EU
64,Gabon,347,98,59,8.9,AF
65,Gambia,8,0,1,2.4,AF
66,Georgia,52,100,149,5.4,EU
67,Germany,346,117,175,11.3,EU
68,Ghana,31,3,10,1.8,AF
69,Greece,133,112,218,8.3,EU
70,Grenada,199,438,28,11.9,NA
71,Guatemala,53,69,2,2.2,NA
72,Guinea,9,0,2,0.2,AF
73,Guinea-Bissau,28,31,21,2.5,AF
74,Guyana,93,302,1,7.1,SA
75,Haiti,1,326,1,5.9,NA
76,Honduras,69,98,2,3,NA
77,Hungary,234,215,185,11.3,EU
78,Iceland,233,61,78,6.6,EU
79,India,9,114,0,2.2,AS
80,Indonesia,5,1,0,0.1,AS
81,Iran,0,0,0,0,AS
82,Iraq,9,3,0,0.2,AS
83,Ireland,313,118,165,11.4,EU
84,Israel,63,69,9,2.5,AS
85,Italy,85,42,237,6.5,EU
86,Jamaica,82,97,9,3.4,NA
87,Japan,77,202,16,7,AS
88,Jordan,6,21,1,0.5,AS
89,Kazakhstan,124,246,12,6.8,AS
90,Kenya,58,22,2,1.8,AF
91,Kiribati,21,34,1,1,OC
92,Kuwait,0,0,0,0,AS
93,Kyrgyzstan,31,97,6,2.4,AS
94,Laos,62,0,123,6.2,AS
95,Latvia,281,216,62,10.5,EU
96,Lebanon,20,55,31,1.9,AS
97,Lesotho,82,29,0,2.8,AF
98,Liberia,19,152,2,3.1,AF
99,Libya,0,0,0,0,AF
100,Lithuania,343,244,56,12.9,EU
101,Luxembourg,236,133,271,11.4,EU
102,Madagascar,26,15,4,0.8,AF
103,Malawi,8,11,1,1.5,AF
104,Malaysia,13,4,0,0.3,AS
105,Maldives,0,0,0,0,AS
106,Mali,5,1,1,0.6,AF
107,Malta,149,100,120,6.6,EU
108,Marshall Islands,0,0,0,0,OC
